match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sun,Mar 17,Espanyol,Sevilla FC,0,1,0,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-sevilla/game-center/sp-id-80402000001009588,50,50,13,12,3,3,11,14,6,5,2,3,2,5,0,2,1,1
Sun,Mar 17,Eibar,Valladolid,1,2,0,1,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/eibar-v-real-valladolid/game-center/sp-id-80402000001009587,62,38,15,8,3,3,16,14,,,1,2,4,5,4,3,0,0
Sat,Mar 16,Leganés,Girona,0,2,0,0,2,0,https://www.msn.com/en-us/sports/soccer/la-liga/legan%c3%a9s-v-girona/game-center/sp-id-80402000001009593,53,47,12,8,3,4,20,6,6,2,2,3,,,8,1,0,0
Sat,Mar 16,Athletic,Atlético,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/athletic-club-v-atl%c3%a9tico-de-madrid/game-center/sp-id-80402000001009586,48,52,8,9,5,2,12,4,1,7,2,3,,,3,1,0,0
Sat,Mar 16,Real Madrid,Celta,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-madrid-v-celta-de-vigo/game-center/sp-id-80402000001009591,53,47,22,6,7,1,15,8,9,2,1,5,2,2,1,0,0,0
Sat,Mar 16,Huesca,Alavés,1,3,1,0,1,2,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-alav%c3%a9s/game-center/sp-id-80402000001009589,55,45,7,12,1,5,21,23,2,2,,,1,3,1,3,0,0
Fri,Mar 15,Real Sociedad,Levante,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-sociedad-v-levante/game-center/sp-id-80402000001009594,58,42,23,8,7,3,10,12,5,3,2,6,5,4,2,2,0,0
Sun,Mar 10,Valladolid,Real Madrid,1,4,1,0,1,3,https://www.msn.com/en-us/sports/soccer/la-liga/real-valladolid-v-real-madrid/game-center/sp-id-80402000001009584,38,62,10,15,2,6,14,12,5,12,2,1,5,1,1,4,0,1
Sun,Mar 10,Levante,Villarreal,0,2,0,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/levante-v-villarreal/game-center/sp-id-80402000001009582,52,48,11,13,3,5,8,21,8,2,4,3,2,2,3,5,0,0
Sun,Mar 10,Sevilla FC,Real Sociedad,5,2,1,3,1,2,https://www.msn.com/en-us/sports/soccer/la-liga/sevilla-v-real-sociedad/game-center/sp-id-80402000001009585,49,51,21,9,10,2,12,13,7,2,,,5,2,2,2,0,0
